timestamp,cash,portfolio_value,total_pnl,run_id
2025-08-15 08:58:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 08:59:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:00:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:01:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:02:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:03:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:04:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:05:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:06:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:07:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:08:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:09:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:10:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:11:00+00:00,100000.0,100000.0,0.0,20accf92
2025-08-15 09:12:00+00:00,-19140.622661059984,99821.49733894001,-178.5026610599889,20accf92
2025-08-15 09:13:00+00:00,-138269.10713605996,99630.89286394004,-369.1071360599599,20accf92
2025-08-15 09:14:00+00:00,-257370.33076744995,99398.00923255002,-601.9907674499846,20accf92
2025-08-15 09:15:00+00:00,-376457.18286666495,99176.53713333502,-823.4628666649805,20accf92
2025-08-15 09:16:00+00:00,-495526.76909725997,98929.18090273999,-1070.8190972600132,20accf92
2025-08-15 09:17:00+00:00,-495526.76909725997,98828.48090274003,-1171.5190972599667,20accf92
2025-08-15 09:18:00+00:00,-495526.76909725997,98648.03090274008,-1351.96909725992,20accf92
2025-08-15 09:19:00+00:00,-495526.76909725997,98633.23090274003,-1366.7690972599667,20accf92
2025-08-15 09:20:00+00:00,-495526.76909725997,98687.08090274001,-1312.91909725999,20accf92
2025-08-15 09:21:00+00:00,-495526.76909725997,98628.78090274008,-1371.21909725992,20accf92
2025-08-15 09:22:00+00:00,-495526.76909725997,98475.08090274001,-1524.91909725999,20accf92
2025-08-15 09:23:00+00:00,-495526.76909725997,98473.23090274003,-1526.7690972599667,20accf92
2025-08-15 09:24:00+00:00,-495526.76909725997,98430.93090273999,-1569.0690972600132,20accf92
2025-08-15 09:25:00+00:00,-495526.76909725997,98513.23090274003,-1486.7690972599667,20accf92
2025-08-15 09:26:00+00:00,-495526.76909725997,98415.08090274001,-1584.91909725999,20accf92
2025-08-15 09:27:00+00:00,-495526.76909725997,98175.6809027401,-1824.3190972598968,20accf92
2025-08-15 09:28:00+00:00,-495526.76909725997,98153.23090274003,-1846.7690972599667,20accf92
2025-08-15 09:29:00+00:00,-495526.76909725997,98041.98090274003,-1958.0190972599667,20accf92
2025-08-15 09:30:00+00:00,-495526.76909725997,98358.23090274003,-1641.7690972599667,20accf92
2025-08-15 09:31:00+00:00,-495526.76909725997,98320.48090274003,-1679.5190972599667,20accf92
2025-08-15 09:32:00+00:00,-495526.76909725997,98628.73090274003,-1371.2690972599667,20accf92
2025-08-15 09:33:00+00:00,-495526.76909725997,98929.23090274003,-1070.7690972599667,20accf92
2025-08-15 09:34:00+00:00,-495526.76909725997,98813.78090274008,-1186.21909725992,20accf92
2025-08-15 09:35:00+00:00,-495526.76909725997,98698.98090274003,-1301.0190972599667,20accf92
2025-08-15 09:36:00+00:00,-495526.76909725997,98693.28090273996,-1306.7190972600365,20accf92
